timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701885973,1701886034,13.703703703703704,54,5,6,1,2,2,2,2,1,0,0,0,0,0,0,2,2,2,10,9,1,1,5,1,37.3273,24.055,32.324553333333334,65.86073166666668,79863.4406,125729.4198,134.8081
1701886034,1701886094,11.952380952380953,84,2,7,1,3,3,3,3,4,5,5,5,5,5,1,3,1,1,4,7,6,2,5,3,40.8154,24.0012,39.937780000000004,65.21134999999998,85688.8463,128277.1144,137.8222
1701886094,1701886154,14.507936507936508,63,3,3,2,4,2,2,2,2,2,2,2,1,1,5,5,4,4,3,1,6,0,5,2,53.7859,23.9196,37.17761166666667,64.62142,99126.5984,168690.3431,135.1266
1701886154,1701886214,11.914285714285715,70,3,3,0,4,4,3,3,3,3,3,3,4,4,0,1,1,3,8,8,5,0,4,0,41.83,23.9237,43.544658333333345,66.33774333333332,70380.2325,113253.4617,146.9996
1701886214,1701886275,13.095238095238095,84,1,4,0,2,3,3,3,3,3,3,3,3,3,5,7,5,5,8,6,8,2,3,1,42.0068,23.9317,37.59382833333335,66.30221333333334,71723.0518,115691.5438,130.4996
1701886275,1701886335,12.48611111111111,72,2,5,1,2,2,2,2,2,2,2,2,1,1,3,5,3,4,12,9,4,2,3,1,38.76,23.9249,31.126038333333334,66.02826666666665,81624.3985,126617.822,127.8633
1701886335,1701886395,14.836065573770492,61,4,9,2,1,1,1,1,1,1,1,2,2,2,0,2,0,1,8,9,3,2,5,3,39.1901,23.9543,34.61197166666667,64.61070499999998,71703.4863,113796.4392,128.1789
1701886395,1701886455,14.784615384615385,65,2,4,2,4,3,3,3,2,2,2,2,2,2,3,3,2,2,5,3,5,1,6,2,40.769,23.9508,36.621518333333334,65.23788499999998,112003.86,171458.2877,135.1251
1701886455,1701886516,12.136986301369863,73,2,4,1,2,2,2,3,3,4,4,4,4,4,3,3,2,1,7,6,6,1,4,1,37.9088,23.9544,44.68578,65.5861033333333,51760.0814,94304.3119,152.422
1701886516,1701886576,13.041666666666666,72,2,3,1,3,2,2,2,2,2,2,2,1,1,5,5,6,6,9,6,5,0,4,1,51.3835,23.9579,35.12212333333333,65.33936,112332.8129,175598.0684,123.9122
1701886576,1701886636,13.517241379310345,58,3,4,0,3,2,2,2,2,2,2,2,2,2,1,2,1,3,8,6,4,1,4,0,37.2212,23.9696,41.49558833333334,66.20467500000001,66453.8427,108369.173,141.7359
