timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701836461,1701836521,66.42,50,1,3,0,2,2,2,2,2,2,2,2,2,2,3,4,3,1,2,1,9,1,2,0,34.5241,23.3845,21.67041,68.76653666666668,41827.2627,79064.415,119.9811
1701836521,1701836581,77.73333333333333,30,2,3,1,1,0,0,0,0,0,0,0,0,0,1,1,2,2,5,3,6,0,2,1,36.4288,23.3748,22.55794166666666,68.39700166666668,95480.9657,128985.3443,118.7344
1701836581,1701836642,48.507936507936506,63,2,2,0,4,3,3,3,3,3,3,3,3,3,2,2,2,2,5,4,8,0,3,0,36.792,23.4554,28.430558333333337,69.20075,64049.4184,98790.105,125.8194
1701836642,1701836702,69.23684210526316,38,2,3,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,4,7,1,2,0,34.7075,23.3681,32.32615,71.27225166666663,83114.8482,123711.8359,120.068
1701836702,1701836762,66.77551020408163,49,1,1,0,3,3,3,3,3,3,3,3,3,3,0,0,0,0,2,3,9,0,3,0,31.4946,23.3494,29.290626666666665,70.45790499999998,43842.7957,58826.4596,127.722
1701836762,1701836822,165.42105263157896,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,9,1,0,0,32.5673,23.35,24.294081666666656,69.26644833333333,31377.3673,57278.357,121.9617
1701836822,1701836883,138.42857142857142,21,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,1,8,0,1,0,31.6095,23.348,14.188175000000003,70.28006833333333,48214.6295,66045.8185,126.3618
1701836883,1701836943,81.82051282051282,39,1,2,0,1,1,2,2,2,2,2,2,2,2,0,1,0,0,3,3,9,1,1,0,31.7391,23.3522,20.441951666666665,70.08134500000004,28133.4895,54819.3412,128.3707
1701836943,1701837003,93.94117647058823,34,2,3,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,3,9,0,1,1,36.3364,23.3754,22.20668500000001,70.16188166666666,62817.1458,101400.4779,121.313
1701837003,1701837063,64.0,38,0,0,0,1,2,2,2,2,2,2,2,2,2,0,1,1,2,4,3,7,0,1,0,32.7282,23.3639,24.738928333333345,68.65975,48996.9838,74637.4264,126.154
1701837063,1701837124,67.73684210526316,38,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,3,3,7,5,7,3,0,0,33.4531,23.4179,20.667681666666674,69.01080333333334,39507.9924,59877.086,121.923
1701837124,1701837184,47.72727272727273,33,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,4,1,1,3,41.6481,23.2556,14.890785,68.85584666666666,76303.7935,112051.466,110.0989
1701837184,1701837244,29.984375,64,3,6,2,3,3,3,3,3,2,1,1,1,1,2,5,2,2,5,3,5,3,3,2,37.4728,23.244,25.02179166666667,69.98349499999999,100559.2251,142194.8576,121.0283
1701837244,1701837304,48.808510638297875,47,2,4,2,1,1,1,1,2,2,2,2,3,3,0,0,0,1,5,4,6,0,3,2,33.3135,23.2336,35.10761000000001,70.85307500000002,68702.7583,106629.1525,124.3186
1701837304,1701837365,62.06382978723404,47,0,3,0,1,1,2,2,2,2,2,2,2,2,2,4,2,1,4,2,8,2,1,0,32.9988,23.2112,29.040891666666656,70.64156666666666,57502.1397,79847.5272,117.5382
1701837365,1701837425,86.07407407407408,27,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,2,2,36.9505,23.2115,23.19775166666667,69.82273833333332,75739.3369,107466.0656,115.7466
1701837425,1701837485,67.75,48,0,2,0,3,3,3,3,3,3,3,3,3,3,0,1,0,0,1,2,9,1,1,1,31.0976,23.2146,26.23429833333334,68.84759333333334,33026.2461,45424.2285,128.1212
1701837485,1701837545,122.8076923076923,26,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,9,0,1,1,33.6919,23.2129,21.162481666666668,68.56238833333332,48282.9185,72089.2579,119.2753
1701837545,1701837605,108.9375,32,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,10,0,1,0,33.5176,23.2617,21.60424666666666,68.13214999999998,34884.6115,66341.8498,133.4347
1701837605,1701837665,120.07407407407408,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,5,4,9,0,0,0,33.0623,23.2857,20.114871666666666,68.74520499999998,31897.9006,48988.212,117.3313
1701837665,1701837725,67.45714285714286,35,0,3,0,0,0,0,0,0,0,0,0,0,0,2,5,2,1,7,6,6,3,0,0,32.3247,23.2859,13.548763333333333,68.65870166666669,32234.5747,54368.0715,122.7516
